USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root          4589     2          0      0 0                   0 I [kworker/0:1H-kverityd]
root          4709     2          0      0 0                   0 I [kworker/u9:2-blk_crypto_wq]
shell         4746  1801      13720   3464 sigsuspend          0 S sh
shell         4748  4746      17416   4180 wait_woken          0 S installer
root          4757     2          0      0 0                   0 I [kworker/2:1-virtio_vsock]
u0_a92        4934  4748      13024   3736 0                   0 S install_server-f943a550
root          4995     2          0      0 0                   0 I [kworker/1:4H-kverityd]
root          4998     2          0      0 0                   0 I [kworker/1:0-events]
root          5503     2          0      0 0                   0 I [kworker/1:0H-kverityd]
root          5752     2          0      0 0                   0 I [kworker/3:1-cgroup_destroy]
root          5754     1    1991192 162348 0                   0 S zygote
audioserver   5755     1      73184  23484 0                   0 S audioserver
cameraserver  5757     1      69952  23600 0                   0 S cameraserver
media         5758     1      66116  27976 0                   0 S mediaserver
root          5759     1      48796   9140 0                   0 S netd
wifi          5760     1      20880   6384 0                   0 S wificond
audioserver   5761     1      42416  11280 0                   0 S android.hardware.audio.service
root          5772  5759      18772   3572 0                   0 S iptables-restore
root          5773  5759      18772   3500 0                   0 S ip6tables-restore
system        5834  5754    2788836 314928 0                   0 S system_server
root          5844     2          0      0 0                   0 I [kworker/2:7H-kverityd]
thread_network 6046    1      19988   6584 0                   0 S ot-daemon
thread_network 6052  516       9640   2172 0                   0 S ot-rcp
u0_a66        6066  5754    1407656 154244 0                   0 S com.android.systemui
bluetooth     6099  5754    1394916 110932 0                   0 S com.google.android.bluetooth
network_stack 6107  5754    1348192 111308 0                   0 S com.android.networkstack.process
webview_zygote 6134 5754    1999532  77540 0                   0 S webview_zygote
secure_element 6151 5754    1331016  86292 0                   0 S com.android.se
system        6154  5754    1375032 119044 0                   0 S com.android.tv.settings
u0_a78        6160  5754    1338300  90916 0                   0 S com.google.android.ext.services
u0_a48        6173  5754    1408052 122648 0                   0 S com.google.android.tv.remote.service
u0_a54        6277  5754    1491588 197444 0                   0 S com.google.android.gms.persistent
u0_a63        6337  5754    1425088 153284 0                   0 S com.google.android.inputmethod.latin
u0_a82        6427  5754    1380064 122744 0                   0 S com.google.android.providers.media.module
u0_a52        6433  5754    2314312 178384 0                   0 S com.google.android.katniss:interactor
system        6472  5754    1342584  93124 0                   0 S com.android.keychain
u0_a51        6483  5754    1450996 186764 0                   0 S com.google.android.tvlauncher
u0_a24        6502  5754    1341404  96236 0                   0 S android.process.acore
u0_a50        6506  5754    1366328 133056 0                   0 S com.google.android.tvrecommendations
u0_a61        6525  5754    1390408 108264 0                   0 S com.google.android.play.games
u0_a30        6544  5754    1344584 102332 0                   0 S android.process.media
u0_a54        6546  5754    1601784 178160 0                   0 S com.google.android.gms
u0_a29        6719  5754    1336284  93804 0                   0 S com.android.providers.tv
system        6823  5754    1336208  86260 0                   0 S com.android.dynsystem
system        6845  5754    1337144  87104 0                   0 S com.android.localtransport
u0_a31        6887  5754    1335340  84140 0                   0 S com.android.managedprovisioning
system        6889  5754    1336208  87304 0                   0 S com.android.dynsystem:dynsystem
u0_a28        6945  5754    1334564  95616 0                   0 S com.android.providers.calendar
shell         6967  5754    1331668  82328 0                   0 S com.android.shell
u0_a53        6983  5754    1508912 163656 0                   0 S com.android.vending
u0_a47        7041  5754    1452220 137628 0                   0 S com.google.android.apps.mediashell
u0_a54        7123  5754    1467496 152872 0                   0 S com.google.android.gms.unstable
u0_a53        7134  5754    1442212 137696 0                   0 S com.android.vending:background
u0_a43        7204  5754    1332612  91884 0                   0 S com.google.android.configupdater
u0_a88        7232  5754    1331424  82008 0                   0 S com.google.android.federatedcompute
u0_a76        7273  5754    1342516  87768 0                   0 S com.google.android.healthconnect.controller
u0_a52        7328  5754    2251920 144712 0                   0 S com.google.android.katniss:search
u0_a87        7420  5754    1332108  82352 0                   0 S com.google.android.ondevicepersonalization.services
u0_a23        7480  5754    1333964  88592 0                   0 S com.google.android.packageinstaller
u0_a80        7497  5754    1361560  95864 0                   0 S com.google.android.rkpdapp
u0_a71        7507  5754    1373768 106836 0                   0 S com.google.android.permissioncontroller
u0_a58        7554  5754    1381956  95128 0                   0 S com.google.android.syncadapters.calendar
u0_a59        7625  5754    1379992 108896 0                   0 S com.google.android.youtube.tv
u0_a81        7779  5754    1349112  83088 0                   0 S com.google.android.photopicker
u0_a21        7791  5754    1343276  83876 0                   0 S com.android.externalstorage
root          7936     2          0      0 0                   0 I [kworker/2:1H-kverityd]
artd          7966     1      40332  10124 0                   0 S artd
root          7968     2          0      0 0                   0 I [kworker/0:0H-kblockd]
root          7969     2          0      0 0                   0 I [kworker/3:1H]
root          8118     2          0      0 0                   0 I [kworker/2:0-virtio_vsock]
root          8216     2          0      0 0                   0 I [kworker/u8:0-events_unbound]
root          8234     2          0      0 0                   0 I [kworker/u9:0-blk_crypto_wq]
root          8236     2          0      0 0                   0 I [kworker/u8:1-events_unbound]
root          8246     2          0      0 0                   0 I [kworker/u8:2]
root          8290     2          0      0 0                   0 I [kworker/u8:3-events_unbound]
root          8301     2          0      0 0                   0 I [kworker/u8:4]
root          8329     2          0      0 0                   0 I [kworker/2:0H-kblockd]
root          8332     2          0      0 0                   0 I [kworker/2:2-virtio_vsock]
shell         8468  1801      13812   4380 0                   0 R ps
